variable,pretty_name,pretty_name_short
Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Other....,(AI) Tissue with Other Artifacts,(AI) Tiss. w/ Other Art.
Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Evaluable.Tissue...mm.2,(AI) Evaluable Tissue Area [mm²],(AI) Eval. Tissue Area
Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Total.Tissue...mm.2,(AI) Total Tissue Area [mm²],(AI) Tot. Tissue Area
log_Cautery.Crush.artefact.average_all,(Path) Cautery Crush Artifact [log],(Path) Cautery/Crush Art. [log]
sq_Cautery.Crush.artefact.average_all,(Path) Cautery Crush Artifact [sq],(Path) Cautery/Crush Art. [sq]
log_PATH.evaluable.cancer.area.marked.as.artifacty.by.AI_all,(Path) Evaluable Cancer Area Marked Artifact by AI [log],(Path) Ca. Area Mark. Art. [log]
sq_PATH.evaluable.cancer.area.marked.as.artifacty.by.AI_all,(Path) Evaluable Cancer Area Marked Artifact by AI [sq],(Path) Ca. Area Mark. Art. [sq]
log_N.Different.tissue.pieces.per.slide_Resection.Biopsy_numeric,(Path) No. of Tissue Pieces per Slide (Resection/Biopsy) [log],(Path) N Tiss. Pcs/Slide [log]
sq_N.Different.tissue.pieces.per.slide_Resection.Biopsy_numeric,(Path) No. of Tissue Pieces per Slide (Resection/Biopsy) [sq],(Path) N Tiss. Pcs/Slide [sq]
log_Cancer.content.N.specimens_Resection.Biopsy_numeric,(Path) No. of Specimens with Cancer Content (Resection/Biopsy) [log],(Path) N Specs w/ Ca. [log]
sq_Cancer.content.N.specimens_Resection.Biopsy_numeric,(Path) No. of Specimens with Cancer Content (Resection/Biopsy) [sq],(Path) N Specs w/ Ca. [sq]
log_PossiblyUltraLowTC,(Control) Capped at 20 by Pathologist [log],(Control) Capped at 20 [log]
sq_PossiblyUltraLowTC,(Control) Capped at 20 by Pathologist [sq],(Control) Capped at 20 [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Key.Result...Total.area.of.tissue...mm.2,(AI) Total Tissue Area [log mm²],(AI) Tot. Tissue Area [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Key.Result...Total.area.of.tissue...mm.2,(AI) Total Tissue Area [sq mm²],(AI) Tot. Tissue Area [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Key.Result...Total.area.of.tumor...mm.2,(AI) Total Tumor Area [log mm²],(AI) Tot. Tumor Area [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Key.Result...Total.area.of.tumor...mm.2,(AI) Total Tumor Area [sq mm²],(AI) Tot. Tumor Area [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.cancer...mm.2,(AI) Total Cancer Area [log mm²],(AI) Tot. Cancer Area [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.cancer...mm.2,(AI) Total Cancer Area [sq mm²],(AI) Tot. Cancer Area [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.stroma...mm.2,(AI) Total Stroma Area [log mm²],(AI) Tot. Stroma Area [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.stroma...mm.2,(AI) Total Stroma Area [sq mm²],(AI) Tot. Stroma Area [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.necrosis...mm.2,(AI) Total Necrosis Area [log mm²],(AI) Tot. Necrosis Area [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.necrosis...mm.2,(AI) Total Necrosis Area [sq mm²],(AI) Tot. Necrosis Area [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cells.in.tissue,(AI) No. of Cells in Tissue [log],(AI) N Cells in Tissue [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cells.in.tissue,(AI) No. of Cells in Tissue [sq],(AI) N Cells in Tissue [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cancer.cells.in.tumor,(AI) No. of Cancer Cells in Tumor [log],(AI) N Ca. Cells in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cancer.cells.in.tumor,(AI) No. of Cancer Cells in Tumor [sq],(AI) N Ca. Cells in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.fibroblasts.in.tumor,(AI) No. of Fibroblasts in Tumor [log],(AI) N Fibro. in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.fibroblasts.in.tumor,(AI) No. of Fibroblasts in Tumor [sq],(AI) N Fibro. in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.macrophages.in.tumor,(AI) No. of Macrophages in Tumor [log],(AI) N Macro. in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.macrophages.in.tumor,(AI) No. of Macrophages in Tumor [sq],(AI) N Macro. in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.plasma.cells.in.tumor,(AI) No. of Plasma Cells in Tumor [log],(AI) N Plasma Cells in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.plasma.cells.in.tumor,(AI) No. of Plasma Cells in Tumor [sq],(AI) N Plasma Cells in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.lymphocytes.in.tumor,(AI) No. of Lymphocytes in Tumor [log],(AI) N Lymph. in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.lymphocytes.in.tumor,(AI) No. of Lymphocytes in Tumor [sq],(AI) N Lymph. in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.neutrophils.in.tumor,(AI) No. of Neutrophils in Tumor [log],(AI) N Neutro. in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.neutrophils.in.tumor,(AI) No. of Neutrophils in Tumor [sq],(AI) N Neutro. in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.endothelial.cells.in.tumor,(AI) No. of Endothelial Cells in Tumor [log],(AI) N Endo. Cells in Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.endothelial.cells.in.tumor,(AI) No. of Endothelial Cells in Tumor [sq],(AI) N Endo. Cells in Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.other.cells.in.tumor,(AI) No. of Other Cells in Tumor [log],(AI) N Other Cells Tum. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.other.cells.in.tumor,(AI) No. of Other Cells in Tumor [sq],(AI) N Other Cells Tum. [sq]
log_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cells.in.normal.tissue,(AI) No. of Cells in Normal Tissue [log],(AI) N Cells Norm. Tiss. [log]
sq_Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cells.in.normal.tissue,(AI) No. of Cells in Normal Tissue [sq],(AI) N Cells Norm. Tiss. [sq]
